,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.9230769230769231,0.9315068493150684,0.9577464788732394,0.9444444444444444,0.9714041826717883
Decision Tree,0.9519230769230769,1.0,0.9295774647887324,0.9635036496350364,0.9647887323943662
Random Forest,0.9903846153846154,1.0,0.9859154929577465,0.9929078014184397,1.0
